sname,z,dm,w2mag,m2mag,w1mag,umag,bmag,vmag
ASASSN-15so,0.007125,1.263,16.195104598999027,16.74269676208496,14.762168884277346,13.23265552520752,13.793392181396484,13.788338661193848
SN2015ar,0.017005000000000003,1.484,17.538549423217773,18.084674835205078,16.18180274963379,14.83332061767578,15.310576438903807,15.277918815612793
ASASSN-15rq,0.025,0.892,17.384223937988278,17.59465217590332,16.023920059204098,14.748797416687012,15.438650131225586,15.467262268066404
SN2015F,0.00489,1.349,16.331708908081055,17.490093231201172,14.816269874572756,13.299174308776855,13.562973976135256,13.21010971069336
ASASSN-14lp,0.0051,0.9059999999999999,15.472049713134766,17.142742156982422,13.9066801071167,12.164205551147461,12.3388032913208,12.010872840881348
iPTF14bdn,0.015880000000000002,0.8109999999999999,17.718963623046875,18.544660568237305,16.116022109985348,14.386460304260256,14.842644691467285,14.900408744812012
iPTF13dge,0.015854,1.0,18.346227645874023,19.320560455322266,16.723649978637695,15.175820350646973,15.417827606201172,15.388357162475586
SN2013gy,0.014022999999999999,1.368,17.83138656616211,18.690555572509766,16.298164367675778,14.689745903015135,14.927339553833008,14.90125846862793
SN2013gs,0.016888,1.162,18.67447853088379,19.8426456451416,16.989639282226562,15.375804901123047,15.528851509094238,15.42424201965332
SN2013ex,0.010440999999999999,1.112,17.54067611694336,18.43902015686035,15.999932289123535,14.458791732788086,14.828516960144045,14.760326385498047
SN2013cs,0.00924,1.131,17.156774520874027,18.210405349731445,15.472622871398926,13.972237586975098,13.987615585327148,13.802655220031738
SN2013bs,0.027612,1.625,19.385103225708008,19.44596672058105,18.250905990600586,16.619754791259766,16.821510314941403,16.70097541809082
LSQ12gdj,0.0303,0.9309999999999999,18.25295829772949,18.546337127685547,16.864784240722653,15.188095092773438,15.93603229522705,15.997895240783693
SN2012ht,0.0035590000000000005,1.199,15.819466590881348,16.236963272094727,14.289186477661133,12.913084983825685,13.136675834655762,13.117405891418455
SN2012hr,0.007562,1.104,16.98525047302246,18.002744674682614,15.411861419677734,13.777548789978027,13.809696197509766,13.769375801086426
SN2012dn,0.010187,0.898,16.17433738708496,16.214921951293945,14.83395004272461,13.637206077575685,14.391898155212402,14.287796020507812
SN2012cg,0.001458,0.9309999999999999,15.154192924499512,16.344945907592773,13.383051872253418,11.77647304534912,12.210057258605955,12.049242973327635
