SNname,weight1,weight2,weight3,peak_mjd,peak_mag,peak_phase,dM15,resid
SN2022hrs,-4.326022674007678,-0.5845085097469407,1.4670049397702511,59703.97373333333,12.991306123795084,0.6078763146566057,1.41,1
ASASSN-15ti,-13.826930550791952,2.2677601648767904,-0.707288215539578,0.0,16.22178417392199,0.09494533904021685,0.0,0
ASASSN-15so,-6.170678118624595,0.15698487546925483,-0.4767340748711807,57344.683096396395,13.74781019350436,0.09244925163881756,1.263,1
ASASSN-15sf,-45.79903897610092,10.227190182332032,-1.8311370028609,0.0,16.076682916747156,-0.39967192119215156,0.0,0
SN2015ar,-9.32805152182655,0.3600558269974522,-0.7217742748132332,57351.34571351352,15.263694799173152,0.09411358260973746,1.484,1
ASASSN-15rw,-12.6370833857337,3.3544854803585626,-0.40620647613927285,0.0,15.670550694734965,0.0961103399743024,0.0,0
ASASSN-15rq,-5.303927101322777,1.2705058995482315,-0.634139176847569,57324.402103503504,15.455298590016138,0.09961317414576776,0.892,1
SN2015ak,-4.881243552203963,0.19443102718125171,0.06389007370811377,57268.183543343344,14.83093273735774,0.1124191518241151,1.171,1
ASASSN-15od,-3.516315147727219,-2.665943718623628,0.7378436671115771,57257.211330330334,15.387232716834271,0.10936181761614172,1.815,1
SN2015F,-6.7624097309212035,0.036448223495515616,-0.4460176056371228,57106.36815185186,13.424165548746831,0.1076137829380297,1.349,1
SN2015bo,-55.26653239380524,8.41235797446081,-2.2631121430539434,0.0,16.932508066498237,-0.004713177747158959,0.0,0
ASASSN-15ar,2.4924738308986933,-0.8487506237344508,0.29336785753693495,0.0,16.847205112524154,0.09920377131205882,0.0,0
iPTF14atg,-3.5590451045404192,-0.5576826281812609,0.1697674398809974,56798.986530430426,17.18360861047887,0.10433930502530764,1.248,1
ASASSN-14lp,-7.5740674359210045,2.1662325135193385,-0.1176729974729919,57015.91542252252,12.367581850364973,0.10489803236419704,0.906,1
SN2014eg,-6.202735055594582,1.7145967780162634,-0.12019293659804077,0.0,15.776326169160964,0.10023762722556384,0.0,0
CSS140914,-26.097835783978173,5.024971740992632,-1.1391962823209014,0.0,16.73936884491163,0.09787486515641142,0.0,0
iPTF14bdn,-4.224554639384631,1.333708015139618,-0.12128727267049969,56822.326421221216,14.8072596286995,0.10474529647393815,0.811,1
PS1-14xw,-5.916991877358484,2.4904309412152252,-1.0686049970517089,0.0,16.136616419390247,0.0871953985245959,0.0,0
SN2014ap,-18.68000295124132,3.308822600502803,1.8542567769431233,0.0,16.39361875862778,2.5080078125014893,0.0,0
SN2014ai,-8.660711876328765,-0.07930437440591104,-0.6746116918399385,56745.82017267268,16.26524840446211,0.08814533007979986,1.537,1
iPTF13ebh,-8.412828799594221,-1.1896496527481124,-0.839850281605797,56622.416,15.317595368046842,0.07502467917215938,1.784,1
iPTF13dge,-8.136955062262748,1.72499862007437,-1.0990664969308415,56555.7340976977,15.37096216863382,0.09261584419188473,1.005,1
LSQ13ry,-171.2909647993824,14.220707925381618,2.8277306035800183,0.0,16.767792507901106,-1.4089320388380144,0.0,0
SN2013gy,-6.8594184847782484,-0.09266848312650386,-0.35460248027252667,56648.75471981982,14.813713268149064,0.07368818522577847,1.397,1
SN2013gs,-5.552172505374334,0.29171564138873496,-0.6148815533682825,56639.24575165165,15.445287346215634,0.1039839249310397,1.163,1
SN2013gh,-19.50771969741869,3.4306730868696476,-0.59393967272646,0.0,14.405288258764545,0.09070676225901586,0.0,0
SN2013fw,-23.301528754801737,3.4453979301660427,-0.49916601553530665,0.0,15.271203113545203,0.09757495942441352,0.0,0
SN2013ex,-6.071322913811624,0.8278503578611588,-0.04604752581294182,56530.7823991992,14.856591409392019,0.10138534574061708,1.112,1
SN2013dy,-10.482611012023824,3.1590041937236486,-0.3956122058187566,0.0,13.278207287363264,0.09055390051632983,0.0,0
SN2013cs,-5.657255231012782,0.6080702686199645,-0.030687023246852567,56436.76332612613,13.970366173283164,0.08258288020617854,1.131,1
SN2013bs,-10.703639417994873,0.42458718771795817,-0.24019351140281084,56406.53341711711,16.759019491048054,0.1006003084778504,1.625,1
SN2013ag,-2.742740847408412,-0.46576023660843435,-1.2648206085186078,0.0,16.091279531016173,0.004047436276742644,0.0,0
SN2013Q,-7.2011786961411515,1.4648534614227524,-0.7526069240317419,0.0,15.79361302091384,0.10072166561879303,0.0,0
SN2013E,-5.2949008354452864,0.9440511157503949,-0.05646465196334087,0.0,14.085450586394819,0.10314526618214259,0.0,0
LSQ12gdj,-4.86592671383844,1.0771836730972102,-0.17380674848257058,56253.74133963964,15.961657870842789,0.11780547537457942,0.931,1
SN2012ht,-6.139405080806416,0.4640742231526419,-0.21675080609405664,56295.514845945945,13.108243452225166,0.08450791428735105,1.199,1
SN2012hr,-8.544763907833323,1.697336587784798,-0.26848821268541856,56288.88824974975,13.7442889284302,0.09746998982854294,1.104,1
SN2012fr,-3.5582568075449714,0.7082042789203119,-0.12357515963439622,56243.65926726727,12.076302650728094,0.1087236490204262,0.908,1
SN2012dn,-8.382088669010543,2.482021139608918,-0.15116467027932315,56132.85001891892,14.38209024123677,0.09902863259467942,0.898,1
