SNname,pcov,dmstd
SN2022hrs,[1.64518817 0.94201808 0.07799087 0.0040278 ],0.156
ASASSN-15ti,[2.15343143e+01 1.73491327e+00 2.50365678e-01 4.42086742e-04],0.0
ASASSN-15so,[5.17325514e-01 1.16331027e-01 2.86058417e-02 5.03605189e-04],0.046
ASASSN-15sf,[inf inf inf inf],0.0
SN2015ar,[0.19748785 0.04404838 0.06191517 0.00043345],0.035
ASASSN-15rw,[9.00817013e+01 6.35921073e+00 1.28447765e-01 8.63238660e-04],0.0
ASASSN-15rq,[0.04366668 0.01869363 0.04117573 0.0002721 ],0.029
SN2015ak,[0.0585114  0.23935888 0.03105602 0.00051679],0.128
ASASSN-15od,[5.20087794e+00 8.62338075e-01 7.67286294e-02 2.05785322e-03],0.092
SN2015F,[0.16773174 0.0626029  0.02148756 0.00353245],0.077
SN2015bo,[7.73116720e+00 3.67396417e-01 1.38558912e-02 4.18122996e-06],0.0
ASASSN-15ar,[4.43302313e+01 3.19731541e+00 2.06795989e-01 3.37580853e-04],0.0
iPTF14atg,[0.46788129 0.22001643 0.04907228 0.00164854],0.128
ASASSN-14lp,[9.34125457e-01 1.31757165e-01 1.78020038e-02 1.84108949e-04],0.02
SN2014eg,[1.98014967e+01 1.42423391e+00 8.28464510e-02 1.60468136e-04],0.0
CSS140914,[1.25999585e+02 5.08079425e+00 1.07971554e-01 3.98574227e-04],0.0
iPTF14bdn,[0.02996133 0.01423795 0.00424887 0.00030344],0.035
PS1-14xw,[5.54613607e+01 3.62938844e+00 1.63353913e-01 4.54560962e-04],0.0
SN2014ap,[1.04422490e+03 8.49185176e+01 4.28200934e+01 7.65113818e-03],0.0
SN2014ai,[0.30324809 0.05749384 0.08092332 0.00045813],0.036
iPTF13ebh,[0.07048751 0.03049394 0.00803938 0.00039054],0.04
iPTF13dge,[2.41222626e-01 4.64253853e-02 4.32466284e-03 1.54343414e-04],0.021
LSQ13ry,[4.79283906e+03 2.66791283e+01 4.08677926e+00 2.92477434e-03],0.0
SN2013gy,[0.14568568 0.08701186 0.02134465 0.00182684],0.08
SN2013gs,[0.31072891 0.09178351 0.00908384 0.00055298],0.044
SN2013gh,[9.19827410e+01 5.03601544e+00 1.34631542e-01 4.01010669e-04],0.0
SN2013fw,[3.95048750e+02 3.89238644e+00 4.89380717e-01 8.01788930e-04],0.0
SN2013ex,[0.33704042 0.08865506 0.13220301 0.00088754],0.052
SN2013dy,[7.73628502e+00 8.19333554e-01 2.66059435e-02 8.17777677e-04],0.0
SN2013cs,[0.03384266 0.01551736 0.004225   0.00031108],0.028
SN2013bs,[2.30531103e+00 2.96900216e-01 1.61913936e-01 1.12783235e-03],0.073
SN2013ag,[3.48919463e+01 2.50938958e+00 7.83425912e-01 2.67459175e-04],0.0
SN2013Q,[1.84538563e+01 1.14398049e+00 4.97599804e-02 1.25785851e-04],0.0
SN2013E,[1.21007188e+01 9.10306166e-01 2.57534227e-02 1.88957840e-04],0.0
LSQ12gdj,[0.1357795  0.04803392 0.01290845 0.00119983],0.057
SN2012ht,[0.03748481 0.01986065 0.0101574  0.0004838 ],0.036
SN2012hr,[1.54827651e-01 1.60603408e-02 1.54989829e-03 1.39563458e-05],0.007
SN2012fr,[0.01921921 0.00823213 0.00358267 0.00051957],0.027
SN2012dn,[4.70294515e-02 8.25763816e-03 7.03601699e-04 1.68152536e-05],0.008
SN2012cg,[0.13291796 0.05596082 0.00829041 0.00155626],0.076
SN2012Z,[0.09863181 0.06024659 0.0271306  0.00139243],0.07
SN2012V,[2.08706804e+00 2.13845692e-01 4.62166577e-01 4.38039964e-04],0.039
SN2011im,[2.18587015e+00 1.91216024e-01 9.21285483e-01 1.06107730e-03],0.052
SN2011ia,[2.04316772e+00 2.00586221e-01 5.53125699e-01 5.79122446e-04],0.04
SN2011hb,[1.43146516e+01 1.43680647e+00 4.64632170e-02 1.11898352e-03],0.0
SN2011fe,[0.02681604 0.01692523 0.06330536 0.00056176],0.0
SN2011ek,[3.00887817e+01 2.33865130e+00 1.49673776e-01 3.23079550e-04],0.0
SN2011eh,[2.32100319e+02 2.43029490e+01 1.08865656e+00 1.36197052e-02],0.0
SN2011dn,[0.15024076 0.06418885 0.03163243 0.0006319 ],0.061
SN2011de,[0.05202198 0.01388924 0.01441616 0.00045406],0.03
SN2011by,[0.01310729 0.00628421 0.00239328 0.00014002],0.021
SN2011ao,[0.05207557 0.0248792  0.00402044 0.00033984],0.033
SN2011aa,[0.04112829 0.04410638 0.01295468 0.00053844],0.055
SN2011M,[1.80475491e+02 8.94115129e+00 3.08398622e-01 2.07158797e-04],0.0
SN2011B,[0.02713915 0.01088814 0.00676548 0.00021694],0.025
SN2010ko,[0.05206707 0.05520676 0.02309877 0.00052716],0.06
