SNname,pcov,dmstd
SN2022hrs,[0.24558766 0.11651474 0.01924891 0.00179945],0.084
ASASSN-15ti,[1.56293918e+01 1.07857805e+00 3.03238922e+00 5.23616476e-04],0.054
ASASSN-15so,[0.34243147 0.06883401 0.14548899 0.00043647],0.043
ASASSN-15sf,[2.04988530e+01 1.47432747e+00 5.09115469e-02 1.67023727e-04],0.0
SN2015ar,[5.02149497e-01 8.21096062e-02 9.75294770e-01 7.18094332e-04],0.05
ASASSN-15rw,[2.54267214e+01 2.00444615e+00 1.25092273e-01 6.01017521e-04],0.0
ASASSN-15rq,[1.88103735e-01 5.29275405e-02 4.70416322e-01 4.19474188e-04],0.043
SN2015ak,[0.27619648 0.64145518 0.081613   0.0010228 ],0.224
ASASSN-15od,[0.2727263  0.09016795 0.0725175  0.00067632],0.058
SN2015F,[0.07641686 0.03658642 0.03408418 0.00109234],0.053
SN2015bo,[2.66912375e+00 1.57718710e-01 1.29451944e-02 1.19408809e-05],0.0
ASASSN-15ar,[6.26637040e+01 5.26882531e+00 4.62999356e+00 4.50502734e-04],0.0
iPTF14atg,[1.14950148e+01 1.21421356e+00 1.31233972e-01 1.18496434e-03],0.112
ASASSN-14lp,[0.13171332 0.05019348 0.02893891 0.00096403],0.048
SN2014eg,[3.14051856e+01 2.10962886e+00 6.17302890e+00 1.05765997e-03],0.068
CSS140914,[5.76550041e+02 2.82807331e+01 1.04782885e+00 6.88347667e-04],0.0
iPTF14bdn,[0.05212885 0.02358554 0.02520211 0.00046717],0.038
PS1-14xw,[5.84286513e+01 3.76547644e+00 2.19981622e-01 3.61957457e-04],0.0
SN2014ap,[1.01030505e+03 8.14927975e+01 4.28818598e+01 6.02511907e-03],0.0
SN2014ai,[8.17769420e-01 1.62812573e-01 1.91475869e+00 1.58033361e-03],0.08
SN2014J,[1.80680476e-02 4.47134088e-03 2.59820891e-03 4.05400268e-05],0.012
iPTF13ebh,[0.40486665 0.14332451 0.07063748 0.00172258],0.09
iPTF13dge,[0.32032375 0.07291996 0.02149062 0.00039462],0.035
LSQ13ry,[7.91716354e+02 9.82209295e+00 2.37935559e-01 1.29009312e-04],0.0
SN2013gy,[0.02846257 0.01325263 0.00831634 0.00027445],0.031
SN2013gs,[0.47790426 0.14239239 0.03826553 0.00113885],0.063
SN2013gh,[9.19385822e+01 5.64178402e+00 2.61029876e-01 4.95995157e-04],0.0
SN2013fw,[1.94333579e+03 8.32769805e+01 2.48798418e+00 7.89239360e-04],0.0
SN2013ex,[1.03024112e-01 1.87450005e-02 3.03094137e-01 2.09111940e-04],0.027
SN2013dy,[0.75411028 0.12997434 0.01716276 0.00077302],0.036
SN2013cs,[0.10461585 0.05230465 0.09654032 0.00100376],0.052
SN2013bs,[6.13685540e-01 6.41865261e-02 9.75534059e-01 3.18826285e-04],0.045
SN2013ag,[5.13872725e+01 3.87293143e+00 6.49267653e+00 5.86093987e-04],0.0
SN2013aa,[0.02658187 0.01610078 0.08370002 0.00050415],0.027
SN2013Q,[2.94274205e+01 1.99606348e+00 1.14289616e-01 2.62447434e-04],0.0
SN2013E,[2.11160115e+01 1.76114650e+00 8.08973123e-02 4.48015834e-04],0.0
LSQ12gdj,[0.05200366 0.01685852 0.03355368 0.00027933],0.027
SN2012ht,[0.2963698  0.09434825 0.07082298 0.00254074],0.082
SN2012hr,[2.32280294e-01 2.58073842e-02 2.27242040e-02 5.17182681e-05],0.012
SN2012fr,[0.16328822 0.07593377 0.02960018 0.00489689],0.082
SN2012dn,[0.13530125 0.03662999 0.00956559 0.00020126],0.03
SN2012cg,[0.10008576 0.0281439  0.00825004 0.00071693],0.043
SN2012Z,[0.12562772 0.15516213 0.73809152 0.00109134],0.071
SN2012V,[1.13488636e+00 6.99663303e-02 8.76686076e-01 2.28620946e-04],0.033
SN2011im,[0.68161494 0.17903687 1.78914081 0.00336275],0.0
SN2011ia,[8.08672910e-01 4.91617521e-02 6.47263480e-01 2.28837823e-04],0.029
SN2011hb,[6.07967318e+00 7.96417047e-01 1.90809322e-01 1.97739120e-03],0.068
SN2011ek,[6.79189714e+00 6.06624881e-01 1.64374567e-01 1.40574134e-04],0.044
SN2011eh,[7.39698099e+01 7.80727519e+00 3.95332533e-01 3.76333647e-03],0.0
SN2011dn,[3.57687907e-01 8.83486446e-02 1.03395161e+00 7.59391126e-04],0.064
SN2011by,[0.02093382 0.00896172 0.00705332 0.00015102],0.024
SN2011ao,[0.12666953 0.05104329 0.01221179 0.00062555],0.05
SN2011aa,[0.04158063 0.02861469 0.24091345 0.00042982],0.042
SN2011M,[1.30074618e+02 8.49015418e+00 6.88138891e-01 9.31343020e-04],0.0
SN2011B,[0.10013542 0.03663678 0.03917996 0.00081302],0.046
SN2010ko,[0.11781571 0.08529693 0.10700255 0.00046903],0.071
SN2010kg,[1.74495926e+00 3.07530925e-01 7.01857360e-02 1.14798854e-03],0.071
SN2010gp,[4.14099130e-01 1.27315379e-01 1.63865740e+00 1.10144537e-03],0.07
SN2010gn,[8.26224942e+00 6.70380703e-01 2.04043714e+00 9.16075859e-04],0.064
SN2010ev,[0.58790311 0.10863781 0.38992579 0.00105629],0.055
SN2010cr,[1.07707981e+01 7.47156184e-01 9.97934219e+00 3.66155243e-03],0.0
SN2010Y,[0.25000618 0.16697768 0.05310104 0.00081754],0.091
PTF10icb,[2.81613282e-01 1.89316580e-02 2.51601100e-01 9.29846606e-05],0.02
SN2009ig,[0.07864853 0.0377126  0.0249919  0.00085807],0.056
SN2009cz,[0.08556533 0.0225722  0.04776041 0.00023018],0.027
SN2009an,[1.29184905e+01 9.14872710e-01 4.70970049e+00 1.34435296e-03],0.079
SN2009Y,[0.06932313 0.03264548 0.05942643 0.00057438],0.043
SNF20080514002,[0.06631164 0.04040455 0.25859687 0.00034354],0.038
SN2008hv,[0.39832237 0.15631717 0.11674624 0.00247144],0.101
SN2008hs,[0.27405392 0.07719347 0.05788935 0.0008586 ],0.065
SN2008ec,[0.33991431 0.10526309 0.04731517 0.00140453],0.07
SN2008Q,[2.54318912e-01 3.57274469e-02 9.33118108e-03 9.49808358e-05],0.017
SN2007on,[0.03038779 0.01775144 0.0405058  0.00043537],0.032
SN2007cv,[0.16571645 0.05060328 0.04917771 0.00055788],0.043
SN2007co,[3.88818134e-01 5.34358705e-02 7.14553520e-01 4.18061279e-04],0.043
SN2007af,[0.04762979 0.01834648 0.0154524  0.00062837],0.036
SN2007S,[0.12272122 0.03065084 0.10573516 0.0004062 ],0.038
SN2006ej,[0.06978296 0.0348076  0.24163437 0.00055044],0.0
SN2006dm,[0.03118238 0.01143769 0.03213508 0.00011649],0.025
SN2006X,[0.61302937 0.14377231 0.07239329 0.0012253 ],0.073
SN2005ke,[0.02300863 0.01673885 0.02167424 0.00042451],0.037
SN2020hvf,[0.09841048 0.05575185 0.03941906 0.00205312],0.071
SN2019np,[0.16735844 0.07943367 0.03534034 0.00210712],0.081
SN2018ilu,[0.37383638 0.145991   0.03627403 0.0020927 ],0.101
SN2018aoz,[0.0829406  0.04512821 0.02117244 0.00096656],0.059
SN2017cbv,[2.81478166e-03 1.66897036e-03 9.58380624e-03 4.07726046e-05],0.008
SN2011fs,[1.28962528e+02 9.38826023e+00 1.08513345e+01 2.77280118e-03],0.0
ASASSN-14eu,[1.42316308e+04 5.29653060e+02 2.52300491e+01 1.84054301e-04],0.0
SN2013E,[2.11160115e+01 1.76114650e+00 8.08973123e-02 4.48015834e-04],0.0
SN2013gh,[9.19385822e+01 5.64178402e+00 2.61029876e-01 4.95995157e-04],0.0
SN2009dc,[3.67284802e-01 2.00814137e-01 3.98912566e+00 1.76244248e-03],0.0
SN2015I,[1.67947877e+03 7.85503798e+01 2.56444662e+00 8.41509809e-04],0.0
