SNname,weight1,weight2,weight3,peak_mjd,peak_mag,peak_phase,dM15,resid
SN2022hrs,0.0001161874375974481,0.061086104686029374,1.1764294298883484,0.0,12.511306859440724,-7.877276799048477,0.0,0
ASASSN-15ti,-19.85071995281019,5.439387624621114,-1.9197663905830649,0.0,16.03751802308868,0.0035875442420003623,0.0,0
ASASSN-15so,0.7189571050958035,-0.0900013037943137,0.09796193953584997,57347.14726876877,13.789450881070133,0.0965926204262697,0.734,1
ASASSN-15sf,-389.67752463647577,42.48076739513649,4.518440058180028,0.0,16.081999999999997,0.2977604673825796,0.0,0
SN2015ar,-2.524936153527264,0.17814666729303208,0.0442360713796993,57353.449589489486,15.245422051687463,0.1077576101193678,0.959,1
ASASSN-15rw,-4.837640701269884,2.287169504672544,0.27216756312640583,0.0,15.544288203931211,-3.402966165380363,0.0,0
ASASSN-15rq,-0.20073541383494087,1.2769714111598343,-0.5073454052558399,57325.36128478478,15.486441905674234,0.10857052174242376,0.432,1
SN2015ak,0.022614564797703296,0.7871461202589065,-0.23208004608340094,57268.62167717718,14.628829601715791,0.10067047245674487,0.554,1
ASASSN-15od,-2.733767011725318,0.4755373900608303,-0.3869420893816656,57257.55102552553,15.474285877199716,0.09923921957831716,0.874,1
SN2015F,-1.3710481120199869,0.65911213209628,-0.3412058506300503,57108.16601781782,13.20806239459123,0.10549036599178585,0.706,1
SN2015bo,134.60737560120145,-27.710865090119782,2.3456922548136765,0.0,16.26652173129296,0.10130169539208556,0.0,0
ASASSN-15ar,20.690526155651607,-4.657772917468068,0.9879303912435354,0.0,16.72244925498431,0.10918411122051985,0.0,0
iPTF14atg,0.44772305817540026,0.5730460472817054,-0.3906479337367787,56799.07796136136,16.840620430653097,0.07635784658484823,0.559,1
ASASSN-14lp,-3.9898450949574227,1.9040590188657662,-0.10005915421501085,57017.28407677678,11.997963803342579,0.10355898186830714,0.647,1
SN2014eg,6.524650411581921,-0.82988441729287,0.7000741742990721,0.0,15.424617653317968,0.6023602601576936,0.0,0
CSS140914,-14.758420680882137,4.620995859717467,-1.9344724568816698,0.0,16.789995155164327,0.004205564786209592,0.0,0
iPTF14bdn,0.057964834715480085,0.8555281105642255,0.20168464363904126,56823.72986726726,14.836687955180611,0.11797959376384348,0.562,1
PS1-14xw,-21.46815805271263,4.734460379132482,0.0706347386396077,0.0,16.081454245754774,-3.390216095002618,0.0,0
SN2014ap,12.688802363823617,-3.5199332485185018,-5.182347470215955,0.0,16.17291956505803,0.8524414062449637,0.0,0
SN2014ai,-3.273335787838203,0.9862522801327863,-0.7239404919640521,56746.389174174175,16.142949401525016,0.0871692807147415,0.772,1
iPTF13ebh,-3.7167504937499767,0.216896517996255,-0.5926854246199826,56624.609568868866,15.195859962308264,0.09829108476248294,1.016,1
iPTF13dge,0.46952967045597893,0.06860667966058964,0.23740331399392212,56558.3038978979,15.356614508113761,0.1121042302148112,0.726,1
LSQ13ry,-19.418030756994234,0.7354829123796919,-0.0446220749681963,0.0,16.772000000000013,-2.860485436896357,0.0,0
SN2013gy,-1.688352668320583,0.801880932425336,0.005554934355821772,56650.981054554555,14.901204211401307,0.11938318989380647,0.722,1
SN2013gs,-1.0204055550539193,0.9566694061179555,-0.2762965340020364,56641.56962682682,15.424664238323286,0.08812863994311648,0.603,1
SN2013gh,-3.271908966602999,1.8405244755762453,-0.43652697319517453,0.0,14.228582614444315,0.09656246930600787,0.0,0
SN2013fw,-55.18836527711711,2.880414612887771,2.010628737554274,0.0,15.148748422031565,-0.09695181907328614,0.0,0
SN2013ex,-1.836986740140427,1.0073387193730936,-0.4580545932779386,56531.92548358358,14.774493934162466,0.08463721147313308,0.653,1
SN2013dy,-6.828168108964661,2.86922636153542,-0.3650358152207575,0.0,13.016592598952515,0.10524807676696035,0.0,0
SN2013cs,-1.259550938123778,0.6914046953686459,0.16052284045436852,56439.666148248245,13.812699915316403,0.09529063255555315,0.721,1
SN2013bs,-3.721885566987733,0.8417666503509005,-0.16622407285573296,56408.18816056056,16.672582348475462,0.10521455307399386,0.886,1
SN2013ag,1.4622882454927986,0.6895937700011616,-6.276989951799606,0.0,16.035890618265213,-0.1924293539347972,0.0,0
SN2013aa,-0.15914349062442157,0.5763263932055938,0.03910797228973917,56344.8026993994,11.629936678245624,0.10229023844973906,0.642,1
SN2013Q,54.91025409723557,-11.311574417157917,1.975708644055684,0.0,15.563863921250372,0.10512666058459263,0.0,0
SN2013E,7.7212625956566185,-0.8853368884780083,-0.3987569928950939,0.0,13.928482865631022,0.09046003387309653,0.0,0
LSQ12gdj,0.5407326067938156,0.7600940254415838,0.367734327051298,56256.30921921922,16.02119001361157,0.5914749701164546,0.553,1
SN2012ht,-1.806799559423986,0.7753582643045864,-0.3034638382059693,56296.60472432432,13.066844439090394,0.0843867772192235,0.719,1
SN2012hr,-5.313860579296933,2.3331361243642346,-0.2836380689161235,0.0,13.758208893886922,0.09151026025923237,0.0,0
SN2012fr,0.43187794249762745,0.3587995765360107,-0.04069207674206554,56244.63146846847,11.952254885563194,0.0810631527005814,0.637,1
SN2012dn,-5.822118406615048,3.025464835057917,-0.19348375652549935,0.0,14.274195459457351,1.1123596864212395,0.0,0
SN2012cg,0.5682497391290083,0.8608958534070221,-0.12343496176782431,56083.28310300301,12.032012359522206,0.122980022977913,0.492,1
SN2012Z,-1.5928976305898508,-0.5107759067870812,0.6612025584762907,55973.57182582583,14.366143241895935,0.11104848642013465,1.089,1
SN2012V,-4.061494519092161,0.9145994070061174,-0.7658568532772975,55961.86176356356,14.941853816718474,0.0907651469491002,0.859,1
SN2011im,-3.3283524993114666,0.40223533276797435,-0.7942758560934452,55905.30997117117,15.69421896345731,0.09839682201788147,0.92,1
SN2011ia,-2.9024077854909334,0.9585208363330191,-0.19005256285585934,55892.969936136134,15.26146027451769,0.0980727538119801,0.78,1
SN2011hb,-14.641767287784955,4.493925139217628,-0.5317661327776022,0.0,16.476876228489992,0.6114822305312675,0.0,0
SN2011fe,2.302862212643733,-0.3556250168562522,-2.355598475223383,55810.80773463463,10.361655449390138,-0.022243122245095392,0.494,1
