SNname,pcov,dmstd
SN2022hrs,[2.54295266 0.83790406 0.09770593 0.002718  ],0
ASASSN-15ti,[9.41599237e+01 7.11463321e+00 4.78116860e-01 6.67897727e-04],0
ASASSN-15so,[8.36133369e-01 1.64617850e-01 1.47710173e-02 5.56100692e-04],0.045
ASASSN-15sf,[inf inf inf inf],0
SN2015ar,[0.31020016 0.07423102 0.01886586 0.00055719],0.039
ASASSN-15rw,[1.42278717e+02 9.22075784e+00 5.43450114e-01 1.10343070e-03],0
ASASSN-15rq,[0.15787475 0.06145672 0.08043352 0.00110844],0.058
SN2015ak,[0.01360174 0.04436239 0.00728765 0.00017091],0.054
ASASSN-15od,[0.97630429 0.23087317 0.05022137 0.00233922],0.092
SN2015F,[0.10721157 0.04169463 0.01648752 0.00284068],0.064
SN2015bo,[1.29774824e+01 5.65679298e-01 1.59018196e-02 7.46442937e-06],0
ASASSN-15ar,[2.65514172e+02 1.85593573e+01 1.14139367e+00 1.12853688e-03],0
iPTF14atg,[0.38979545 0.2011141  0.07085219 0.00258222],0.124
ASASSN-14lp,[1.75250130e+00 1.91517193e-01 1.17477870e-02 1.29222517e-04],0.021
SN2014eg,[1.64921425e+02 1.04131852e+01 3.38847226e-01 1.02766299e-03],0
CSS140914,[2.29787500e+02 9.57128497e+00 1.98021831e-01 4.36002179e-04],0
iPTF14bdn,[0.02196305 0.01313963 0.00486967 0.00033221],0.035
PS1-14xw,[2.88804772e+02 1.32034277e+01 3.32221259e-01 1.63994259e-03],0
SN2014ap,[2.83359330e+03 1.94520816e+02 1.12669193e+02 6.31215520e-03],0
SN2014ai,[0.45644321 0.10482862 0.10834597 0.00102889],0.051
iPTF13ebh,[0.18886842 0.11219134 0.01595439 0.00174409],0.071
iPTF13dge,[2.18674980e+00 2.79851936e-01 2.12985092e-02 4.59583299e-04],0.035
LSQ13ry,[inf inf inf inf],0
SN2013gy,[0.0116825  0.00747648 0.00222591 0.00018243],0.023
SN2013gs,[0.15406423 0.0390535  0.01003305 0.00060089],0.041
SN2013gh,[7.83957463e+01 3.55930640e+00 6.80838414e-02 6.49212934e-04],0
SN2013fw,[1.80304132e+03 5.71752798e+00 2.81303837e+00 2.58485716e-03],0
SN2013ex,[0.27919645 0.0831683  0.05093963 0.00080499],0.045
SN2013dy,[1.54201830e+01 1.42369564e+00 3.36418935e-02 5.48514879e-04],0
SN2013cs,[0.08189975 0.03730903 0.00491702 0.00041958],0.036
SN2013bs,[2.46818663e+00 5.56648905e-01 8.66624531e-02 2.34100178e-03],0.094
SN2013ag,[1.52149241e+02 1.09459533e+01 3.24128168e+00 1.25324077e-03],0
SN2013aa,[0.01490752 0.00607836 0.00915846 0.00015647],0.018
SN2013Q,[2.70666766e+02 1.39153616e+01 3.72779991e-01 5.87732341e-04],0
SN2013E,[8.67287126e+01 6.42050377e+00 1.61458441e-01 1.44296632e-03],0
LSQ12gdj,[0.06592872 0.03146534 0.00949175 0.00077195],0.049
SN2012ht,[0.0185145  0.01098683 0.00801791 0.00022437],0.026
SN2012hr,[2.55522125e+00 2.21426048e-01 8.55477865e-03 7.21924006e-05],0
SN2012fr,[0.01593345 0.00812679 0.0034992  0.00030186],0.023
SN2012dn,[9.18803890e+00 1.04924790e+00 4.32791937e-02 4.64451162e-04],0
SN2012cg,[0.02937238 0.02102157 0.00491127 0.00013229],0.046
SN2012Z,[0.05542153 0.02402611 0.00809736 0.00122828],0.047
SN2012V,[7.36873678e-01 8.85621974e-02 6.76961040e-02 1.78849895e-04],0.021
SN2011im,[3.66585359e+00 4.66992939e-01 2.65454501e-01 1.42820600e-03],0.056
SN2011ia,[1.68600978e+00 1.99999842e-01 1.14771841e-01 4.15449946e-04],0.032
SN2011hb,[5.80329404e+01 4.71918120e+00 1.45283444e-01 1.25940178e-03],0
SN2011fe,[0.02859295 0.00750491 0.00254448 0.00098057],0.038
SN2011ek,[2.98279282e+01 2.18830738e+00 8.62428170e-02 3.30312031e-04],0
SN2011eh,[5.77165589e+01 5.34691732e+00 1.87741716e-01 2.59519699e-03],0
SN2011dn,[0.20902473 0.12191502 0.03267469 0.0014432 ],0.087
SN2011by,[0.00940926 0.00484002 0.00520564 0.00017912],0.019
SN2011ao,[0.03730454 0.01727468 0.0061248  0.00022587],0.027
SN2011aa,[0.09815609 0.07357195 0.03044362 0.00152603],0.072
SN2011M,[1.98557168e+03 9.47622234e+01 2.80010998e+00 1.58744208e-03],0
SN2011B,[0.04063008 0.0171676  0.00441302 0.00031867],0.03
SN2010ko,[0.04575953 0.03345611 0.00954726 0.00052254],0.047
SN2010kg,[0.69945449 0.16065714 0.01264792 0.00072331],0.047
SN2010gp,[0.03441439 0.01993791 0.03616068 0.00039087],0.036
SN2010gn,[1.92458142e+01 2.12487750e+00 3.32199701e-01 2.57190874e-03],0.088
SN2010ev,[1.84991091e-01 3.65838763e-02 5.87739672e-03 1.70594325e-04],0.022
SN2010cr,[0.09399133 0.03094696 0.28586542 0.00040721],0
SN2010Y,[1.80116237 0.41677235 0.03791218 0.00247585],0.075
PTF10icb,[6.57688301e-01 6.59172314e-02 1.22368762e-01 1.63777173e-04],0.02
SN2009ig,[0.01507717 0.01168824 0.00458645 0.00024568],0.031
SN2009cz,[0.06335737 0.01920893 0.00527276 0.00030053],0.034
SN2009an,[1.03390031e+00 1.28900650e-01 2.09086060e-02 3.21943044e-04],0.024
SN2009Y,[0.04926142 0.02219816 0.01077321 0.00063706],0.041
SNF20080514002,[1.46857568e-02 8.05134946e-03 4.76613892e-03 8.28282133e-05],0.021
SN2008hv,[0.04115947 0.026009   0.00696062 0.00048992],0.042
SN2008hs,[0.30736548 0.14357698 0.02541116 0.00115198],0.094
SN2008ec,[0.05609351 0.03282482 0.01011384 0.00052554],0.048
SN2008Q,[2.12229701e+00 2.04934116e-01 9.09383633e-03 1.03391290e-04],0
SN2007on,[0.02619493 0.01198014 0.00664491 0.00037994],0.032
SN2007cv,[0.02792814 0.01549218 0.0046698  0.00035919],0.031
SN2007co,[0.35164832 0.06413226 0.17841571 0.00064445],0.046
SN2007af,[4.65328147e-03 2.73024362e-03 4.65173412e-03 9.41980580e-05],0.014
SN2007S,[0.0223119  0.01253861 0.00310738 0.00020209],0.029
SN2006ej,[0.12540842 0.05913321 0.17808965 0.00121052],0.055
SN2006dm,[0.05317356 0.02872058 0.00816156 0.00039097],0.043
SN2006X,[0.02994931 0.01723939 0.0048308  0.00037024],0.038
SN2005ke,[0.00814354 0.00528495 0.00255987 0.00016834],0.02
SN2005hk,[0.04860799 0.02177334 0.0107706  0.0006755 ],0.037
SN2005cf,[0.04144436 0.01627914 0.0038598  0.00051874],0.04
SN2020hvf,[0.05443836 0.04425489 0.10315899 0.00126854],0.052
SN2019np,[0.02962814 0.01242933 0.00489042 0.00055067],0.034
SN2018ilu,[0.16326236 0.10769924 0.02039808 0.00268267],0.097
SN2018aoz,[0.05177271 0.0428065  0.00827579 0.00092282],0.06
SN2017cbv,[0.26076614 0.10284181 0.1179598  0.00744302],0.099
SN2011fs,[9.76623049e+03 3.78074361e+02 2.17965288e+00 2.26742015e-03],0
ASASSN-14eu,[9.12318092e+03 3.39461971e+02 1.61791564e+01 1.16215676e-04],0
SN2013E,[8.67287126e+01 6.42050377e+00 1.61458441e-01 1.44296632e-03],0
SN2013gh,[7.83957463e+01 3.55930640e+00 6.80838414e-02 6.49212934e-04],0
SN2009dc,[2.09361276e-01 1.54620781e-01 2.60456693e+00 2.25117742e-03],0
SN2015I,[3.06590797e+04 1.15926314e+03 4.71924321e+01 8.94197024e-04],0
