SNname,pcov,dmstd
SN2022hrs,[0.28132729 0.12465417 0.04342397 0.00178143],0.086
ASASSN-15ti,[2.29407113e+01 1.57336216e+00 1.39302485e+01 6.39787073e-03],0.0
ASASSN-15so,[9.08962643e-01 1.20729946e-01 3.46513339e-02 2.87521712e-04],0.037
ASASSN-15sf,[7.96409040e+01 6.05814410e+00 1.04298344e+01 8.15717496e-04],0.0
SN2015ar,[0.41021135 0.09010836 0.94142528 0.00101159],0.055
ASASSN-15rw,[1.34052143e+02 1.02561855e+01 5.88231098e-01 2.97613052e-03],0.0
ASASSN-15rq,[4.48144932e-01 1.18347023e-01 1.32164770e+00 1.20149966e-03],0.07
SN2015ak,[1.3621621  1.38564839 0.15453222 0.0017814 ],0.287
ASASSN-15od,[1.56447149e+03 5.81439650e+01 1.05887406e+00 1.30785309e-03],0.0
SN2015F,[0.10669283 0.05011046 0.0479424  0.00161927],0.063
SN2015bo,[1.67826683e+03 7.38376665e+01 2.42968202e+00 4.94427400e-04],0.0
ASASSN-15ar,[1.86036569e+02 1.62347635e+01 2.47498822e+01 9.81118248e-04],0.0
iPTF14atg,[1.93779665e+01 2.83665258e+00 3.05055127e-01 5.97274230e-03],0.204
ASASSN-14lw,[1.20051982e+00 7.79047811e-02 9.26756872e-01 4.12457371e-04],0.036
ASASSN-14lp,[0.2822893  0.12784995 0.05124146 0.00387083],0.095
SN2014eg,[6.67377614e+01 4.57408627e+00 1.25438797e+01 2.03129916e-03],0.0
CSS140914,[1.45598560e+03 7.14048819e+01 2.89404150e+00 1.59390229e-03],0.0
iPTF14bdn,[0.13105349 0.03283359 0.01461447 0.00054516],0.038
PS1-14xw,[2.28471309e+02 1.37741604e+01 6.87637065e-01 1.06648585e-03],0.0
SN2014ap,[9.27979076e+02 5.60869062e+01 2.96607267e+01 2.91031434e-03],0.0
SN2014ai,[1.12960054e+01 8.16223807e-01 9.86985569e+00 5.25740685e-03],0.0
SN2014J,[0.07733715 0.02214526 0.00383494 0.00014981],0.023
iPTF13ebh,[0.424989   0.17088079 0.0969351  0.00214347],0.1
iPTF13dge,[0.17479928 0.04029562 0.01657659 0.00021848],0.028
LSQ13ry,[1.03734129e+05 2.67810183e+03 1.07753297e+02 2.15973723e-02],0.0
SN2013gy,[0.06948638 0.02535723 0.01213372 0.00046162],0.041
SN2013gs,[0.90921838 0.1962376  0.04963052 0.00099139],0.064
SN2013gh,[1.00790553e+02 6.61369144e+00 3.81805673e-01 5.99223917e-04],0.0
SN2013fw,[4.20233980e+03 1.77029840e+02 5.34696177e+00 1.63608551e-03],0.0
SN2013ex,[1.30616321e+00 1.77982118e-01 2.85890628e+00 2.40930692e-03],0.083
SN2013dy,[1.76022634e+00 2.87014211e-01 4.53851606e-02 1.09976691e-03],0.052
SN2013cs,[0.10942016 0.05395811 0.10558849 0.00111272],0.053
SN2013cg,[4.88362092e+01 3.44424910e+00 8.24862090e+00 1.40295595e-03],0.112
SN2013bs,[2.43031207e+01 1.23794954e+00 1.92102995e+01 4.33542212e-03],0.0
SN2013ag,[4.02367203e+01 2.93022097e+00 4.47531778e+00 3.89755805e-04],0.0
SN2013aa,[0.0260034  0.01986461 0.12708035 0.00026942],0.026
SN2013Q,[6.93859042e+02 3.70798987e+01 1.25061277e+00 1.65968984e-03],0.0
SN2013E,[3.00639560e+01 2.59185170e+00 1.29301904e-01 7.94959471e-04],0.0
LSQ12gdj,[0.11642014 0.02687535 0.17491398 0.00027552],0.029
SN2012ht,[0.4686925  0.24204741 0.11685909 0.00366031],0.126
SN2012hr,[3.93258066e-01 4.32971536e-02 5.22619175e-02 1.01583810e-04],0.016
SN2012fr,[0.38573686 0.22417799 0.06156889 0.00507957],0.126
SN2012dn,[0.5838022  0.16959496 0.16044349 0.00128598],0.074
SN2012cg,[0.03884487 0.01974116 0.01139979 0.00043847],0.038
SN2012Z,[1.45165651e-01 2.74873854e-01 1.60956466e+00 5.96429337e-04],0.063
SN2012V,[3.70634187e+00 2.56883939e-01 2.12137152e+00 6.47466155e-04],0.055
SN2011iv,[3.72593807e-02 1.93802032e-02 1.84347853e-01 1.11820137e-04],0.025
SN2011im,[7.83173396e+00 5.32587307e-01 2.34459805e+00 3.92248309e-04],0.044
SN2011ia,[1.58317494e+00 1.05841934e-01 1.31258082e+00 6.01932552e-04],0.044
SN2011hb,[1.41531559e+02 1.44619094e+01 4.99843037e-01 1.14993796e-02],0.0
SN2011fe,[0.02031625 0.00979917 0.00750315 0.00040064],0.028
SN2011ek,[8.97678815e+02 5.95547370e+01 5.11548703e+00 1.90842736e-03],0.0
SN2011eh,[1.82545010e+02 1.89285135e+01 1.04867170e+00 9.94697945e-03],0.0
SN2011dn,[4.55393906e+01 2.94769036e+00 1.10920278e+01 1.55395920e-03],0.091
SN2011dm,[9.21751853e+02 4.91663877e+01 1.78971746e+00 1.86914216e-03],0.0
SN2011by,[0.05613807 0.02771465 0.01588885 0.00057908],0.046
SN2011ao,[0.07335728 0.02607502 0.007002   0.00037226],0.036
SN2011aa,[0.04216263 0.03587274 0.4159512  0.00047291],0.044
SN2011M,[6.39287977e+02 4.18647903e+01 4.22730869e+00 4.60139806e-03],0.0
SN2011B,[0.14185374 0.0584131  0.06721915 0.00119812],0.062
SN2010ko,[7.90417603e+02 4.34044655e+01 2.24280531e+00 2.00721705e-03],0.0
SN2010kg,[1.56359585e+00 2.83155985e-01 8.06908075e-02 1.03594980e-03],0.074
SN2010gp,[5.60155579e+00 6.56306368e-01 1.07078738e+01 3.97690402e-03],0.16
SN2010gn,[4.52259341e+01 3.40260917e+00 7.20527697e+00 1.86594730e-03],0.107
SN2010ev,[7.03686505e-01 1.09003924e-01 4.42913854e-01 5.85481972e-04],0.053
SN2010cr,[0.58390388 0.13070834 1.65680356 0.00197926],0.0
SN2010Y,[0.26911763 0.17399994 0.06628918 0.00118918],0.095
PTF10icb,[8.57129350e-01 8.05967209e-02 4.86894704e-01 3.66913982e-04],0.036
SN2009ig,[0.1570906  0.09600908 0.03711355 0.00161697],0.089
SN2009cz,[0.30740041 0.07240577 0.21915638 0.00058358],0.046
SN2009an,[1.77714453e+00 1.76181326e-01 4.41269781e-01 3.38539510e-04],0.034
SN2009Y,[0.14138937 0.04777433 0.04936768 0.00062045],0.048
SNF20080514002,[4.65829323e-01 8.64434719e-02 6.23710369e-01 5.18840213e-04],0.054
SN2008hv,[0.28145097 0.10426224 0.11631921 0.00169164],0.08
SN2008hs,[5.29746222e+00 8.83379806e-01 3.90383615e-01 2.63085411e-03],0.128
SN2008ec,[0.50105997 0.10635286 0.09327774 0.00103458],0.058
SN2008Q,[5.11559723e-01 7.65630561e-02 3.41818557e-02 2.25553508e-04],0.026
SN2007on,[0.02219879 0.01839006 0.05627503 0.00034022],0.03
SN2007cv,[0.52820285 0.15135845 0.12260771 0.00134972],0.071
SN2007co,[2.08197274e+01 1.60242845e+00 3.80001263e+00 1.10588565e-03],0.0
SN2007af,[0.06186333 0.02376555 0.01881411 0.00065581],0.038
SN2007S,[8.20984178e+01 6.46772421e+00 9.45849513e-01 1.46091522e-03],0.0
SN2006mr,[4.56587694e+00 2.94228605e+00 3.92253530e+01 8.68470569e-03],0.446
SN2006ej,[1.60802477e+00 3.22444168e-01 3.39062327e+00 2.31010154e-03],0.097
SN2006dm,[0.72601062 0.18196166 0.20331207 0.00117097],0.097
SN2006X,[2.59403043e+02 2.02810790e+01 1.05220369e+00 3.47162894e-03],0.0
